season,timestamp,match_datetime,home_team_name,away_team_name,stadium_name,referee,attendance,target_outcome,Away_Team_Pre_Match_xG,Home_Team_Pre_Match_xG,average_corners_per_match_pre_match,away_team_fouls,away_team_possession,away_team_red_cards,away_team_shots,away_team_shots_off_target,away_team_shots_on_target,away_team_yellow_cards,home_team_fouls,home_team_possession,home_team_red_cards,home_team_shots,home_team_shots_off_target,home_team_shots_on_target,home_team_yellow_cards,team_a_xg,team_b_xg
2021,1641992400,2022-01-12 13:00:00,Tunisia,Mali,,,,AWAY_WIN,0.0,0.0,0.0,14,44,1,10,8,2,2,14,56,0,7,4,3,2,0.86,0.98
2021,1642005900,2022-01-12 16:45:00,Mauritania,Gambia,,,,AWAY_WIN,0.0,0.0,0.0,16,39,0,9,7,2,3,15,61,0,21,17,4,2,1.99,0.87
2021,1642014000,2022-01-12 19:00:00,Equatorial Guinea,Ivory Coast,Stade de la Réunification,,,AWAY_WIN,0.0,0.0,0.0,16,56,0,13,10,3,1,11,44,0,13,10,3,1,1.27,1.41
2021,1642089600,2022-01-13 16:00:00,Cameroon,Ethiopia,,,,HOME_WIN,0.73,1.87,7.0,9,43,0,11,6,5,1,15,57,0,22,12,10,3,2.38,1.24
2021,1642100400,2022-01-13 19:00:00,Cape Verde Islands,Burkina,,,,AWAY_WIN,1.41,1.75,11.0,19,44,0,13,8,5,1,16,56,0,8,8,0,2,0.71,1.52
2021,1642165200,2022-01-14 13:00:00,Senegal,Guinea,Stade Municipal de Bangangte,,,DRAW,1.46,1.76,10.0,26,50,0,9,7,2,4,14,50,0,11,8,3,1,1.16,0.94
2021,1642176000,2022-01-14 16:00:00,Malawi,Zimbabwe,Stade Municipal de Bangangte,,,HOME_WIN,1.16,1.39,10.0,14,64,0,13,8,5,3,12,36,0,11,8,3,2,1.09,1.58
2021,1642176000,2022-01-14 16:00:00,Morocco,Comoros,Stade Omnisport Ahmadou Ahidjo,,,HOME_WIN,1.45,1.36,7.0,8,41,0,8,8,0,2,17,59,0,20,10,10,2,2.44,0.65
2021,1642186800,2022-01-14 19:00:00,Gabon,Ghana,Stade Omnisport Ahmadou Ahidjo,,,DRAW,0.86,1.25,6.0,21,52,1,6,4,2,4,30,48,0,15,11,4,3,1.46,0.66
2021,1642262400,2022-01-15 16:00:00,Nigeria,Sudan,Stade Omnisport Roumdé Adjia,,,HOME_WIN,1.32,1.81,9.0,16,42,0,6,4,2,0,7,58,0,17,8,9,1,1.99,0.69
2021,1642273200,2022-01-15 19:00:00,Guinea-Bissau,Egypt,Stade Omnisport Roumdé Adjia,,,AWAY_WIN,0.79,1.19,6.0,19,61,0,18,13,5,1,18,39,0,9,4,5,3,1.08,1.85
2021,1642338000,2022-01-16 13:00:00,Gambia,Mali,,,,DRAW,0.98,0.87,10.0,20,68,0,19,13,6,3,11,32,0,5,3,2,2,0.55,1.96
2021,1642348800,2022-01-16 16:00:00,Ivory Coast,Sierra Leone,Stade de la Réunification,,,DRAW,1.0,1.41,6.0,0,39,0,8,3,5,2,1,61,0,18,12,6,0,1.9,0.97
2021,1642348800,2022-01-16 16:00:00,Tunisia,Mauritania,,,,HOME_WIN,1.99,0.86,10.0,10,46,0,12,12,0,1,19,54,0,15,5,10,3,1.91,0.97
2021,1642359600,2022-01-16 19:00:00,Algeria,Equatorial Guinea,Stade de la Réunification,,,AWAY_WIN,1.27,2.26,12.0,24,31,0,9,4,5,4,14,69,0,17,14,3,3,1.66,1.02
2021,1642435200,2022-01-17 16:00:00,Burkina,Ethiopia,Stade Municipal de Bangangte,,,DRAW,0.99,1.46,6.5,14,56,0,13,9,4,2,14,44,0,7,4,3,0,0.98,1.26
2021,1642435200,2022-01-17 16:00:00,Cape Verde Islands,Cameroon,,,,DRAW,2.13,1.23,11.5,12,64,0,15,12,3,2,13,36,0,6,4,2,0,0.64,1.48
2021,1642521600,2022-01-18 16:00:00,Zimbabwe,Guinea,Stade Omnisport Ahmadou Ahidjo,,,HOME_WIN,1.2,1.37,11.0,18,63,0,17,14,3,3,16,37,0,13,8,5,3,1.33,1.65
2021,1642521600,2022-01-18 16:00:00,Malawi,Senegal,Stade Municipal de Bangangte,,,DRAW,1.46,1.24,9.5,11,78,0,11,6,5,1,18,22,0,8,8,0,2,0.73,1.33
